id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
241458,241458,Hatton Locks Cafe,8.534,8.534,8.534,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1696628,1696628,Court House Coffee Morning,7.531,7.531,7.531,Rankable-B,coverage-partial,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=817, r=5""}]"
1244925,1244925,Cacao Coffee and Chocolate Co,7.343,7.343,7.343,Rankable-B,coverage-partial,True,True,unmatched,[],[]
242495,242495,Hill Close Gardens Tearoom,7.987,7.987,7.987,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=739, r=5""}]"
351828,351828,Rosie's,6.902,6.902,6.902,Rankable-B,coverage-ready,True,True,matched,[],[]
242690,242690,The Old Post Cafe,8.327,8.327,8.327,Rankable-B,coverage-ready,True,True,matched,[],[]
351818,351818,Papa John's Pizza,7.247,7.247,7.247,Rankable-B,coverage-ready,True,True,matched,[],[]
242249,242249,Raku 57,8.448,8.448,8.448,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241803,241803,Elma Restaurant,8.416,8.416,8.416,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242497,242497,Paprika Club,8.48,8.48,8.48,Rankable-B,coverage-ready,True,True,matched,[],[]
241610,241610,Emperors Restaurant,6.934,6.934,6.934,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241647,241647,Newbold Comyn Arms,8.249,8.249,8.249,Rankable-B,coverage-ready,True,True,matched,[],[]
1024074,1024074,Cafe Royal,8.749,8.749,8.749,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242781,242781,Spice Village,4.538,4.538,4.538,Directional-C,coverage-partial,False,False,matched,[],[]
242624,242624,Costa Coffee,8.552,8.552,8.552,Rankable-B,coverage-ready,True,True,matched,[],[]
241625,241625,Ego@Kenilworth,8.687,8.687,8.687,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1411649,1411649,Evergreen Community Book Cafe,4.646,4.646,4.646,Directional-C,coverage-partial,False,False,unmatched,[],[]
242148,242148,Wander Bar,5.082,5.082,5.082,Directional-C,coverage-partial,False,False,unmatched,[],[]
1759015,1759015,Cubbington Cafe,8.072,8.072,8.072,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241632,241632,Roebuck Inn,8.404,8.404,8.404,Rankable-B,coverage-ready,True,True,matched,[],[]
241744,241744,Been Bar Restaurant,7.884,7.884,7.884,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1086652,1086652,Peekaboo,7.737,7.737,7.737,Rankable-B,coverage-partial,True,True,unmatched,[],[]
930755,930755,Giggling Squid,8.97,8.97,8.97,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242137,242137,Caffe Nero PLC,8.434,8.434,8.434,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241464,241464,Saffron Gold,8.479,8.479,8.479,Rankable-B,coverage-ready,True,True,unmatched,[],[]
859538,859538,Dwarakamai,7.993,7.993,7.993,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241385,241385,The Dream Factory,8.888,8.888,8.888,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241542,241542,Benjamin Satchwell,3.763,3.763,3.763,Directional-C,coverage-partial,False,False,unmatched,[],[]
242126,242126,Dine Contract Catering Ltd at Walkers Snack Foods Ltd,8.338,8.338,8.338,Rankable-B,coverage-partial,True,True,unmatched,[],[]
241517,241517,Red Hot Mamma Pizzeria,8.83,8.83,8.83,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241671,241671,Christ Church,7.523,7.523,7.523,Rankable-B,coverage-partial,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=793, r=5""}]"
351831,351831,Granny Smiths,8.255,8.255,8.255,Rankable-B,coverage-ready,True,True,matched,[],[]
950715,950715,Cafe at Market Hall,7.882,7.882,7.882,Directional-C,coverage-partial,False,False,unmatched,[],[]
242144,242144,Rayu Warwick,0.0,0.0,0.0,Profile-only-D,coverage-partial,False,False,matched,[],[]
242324,242324,Pizza Express,8.35,8.35,8.35,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1892758,1892758,The Cosy Cafe (Warm Hub),8.488,8.488,8.488,Rankable-B,coverage-partial,True,True,unmatched,[],[]
242182,242182,Sydni Cafe,8.447,8.447,8.447,Rankable-B,coverage-ready,True,True,unmatched,[],[]
