month,venue,experience,visibility,trust,conversion,prestige,overall
2026-04,Vintner Wine Bar,8.7,8.23,7.21,5.5,1.5,7.03
2026-04,Arrow Mill,9.42,8.5,9.74,5.5,1.5,7.94
2026-04,Arrow Mill,9.42,8.5,9.73,5.5,1.5,7.93
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,Vintner Wine Bar,8.73,9.73,7.2,5.5,1.5,7.34
2026-04,The Tea Shed,8.72,1.44,7.21,,1.5,5.71
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Sans Oriental Restaurant,8.49,3.36,8.96,5.0,1.5,6.36
2026-04,Carluccio's,9.07,3.55,8.43,3.5,0.0,6.06
2026-04,The Bridge,9.42,3.39,7.11,3.5,1.5,5.96
2026-04,Lambs,9.65,3.88,8.68,3.5,1.5,6.52
2026-04,Pick Thai Ltd,8.49,3.2,8.89,2.5,1.5,5.93
2026-04,Oxheart,10,2.57,9.87,2.5,1.5,6.51
2026-04,Cafe Chutneys,6.98,3.37,6.09,3.5,0.0,4.82
2026-04,Chopstix South,6.62,2.4,7.93,2.5,0.0,4.82
2026-04,The Bell Inn,8.49,3.82,7.82,3.5,1.5,5.94
2026-04,Starbucks -  Southbound,7.79,4.0,7.94,2.5,0.0,5.5
2026-04,The Olde Mint,7.79,2.98,8.07,3.5,0.0,5.48
2026-04,Ferment And Flour (Bastardos),8.95,2.45,8.82,2.5,0.0,5.75
2026-04,Cafe Des Fleurs,9.42,3.25,8.31,3.5,1.5,6.23
2026-04,Southam Gateway Coffee Shop Ltd,9.65,3.0,7.62,3.5,1.5,6.08
2026-04,Lexi's Loving Spoonful,9.18,2.09,7.78,,0.0,6.02
2026-04,Pizza Junction Kineton Ltd,8.72,3.11,8.56,2.5,1.5,5.9
2026-04,The George Hotel,8.38,3.78,8.32,3.5,1.5,6.03
2026-04,The Sandwich Shop,8.96,2.18,7.13,2.5,1.5,5.43
2026-04,Gardener's Retreat,7.21,1.57,8.76,2.5,0.0,5.04
2026-04,The Straw Kitchen,9.88,3.32,7.16,3.5,1.5,6.09
2026-04,The Spice Room,8.49,3.09,8.67,4.0,1.5,6.08
2026-04,The Tea Shed,8.72,1.44,7.21,,1.5,5.71
2026-04,Shakespeare's,8.38,3.88,7.64,2.5,1.5,5.73
2026-04,Impasto Micro-Pizzeria,8.96,3.08,7.78,2.5,1.5,5.77
2026-04,Sans Oriental Restaurant,8.49,3.36,8.96,5.0,1.5,6.36
2026-04,Carluccio's,9.07,3.55,8.43,3.5,0.0,6.06
2026-04,The Bridge,9.42,3.39,7.11,3.5,1.5,5.96
2026-04,Lambs,9.65,3.88,8.68,3.5,1.5,6.52
2026-04,Pick Thai Ltd,8.49,3.2,8.89,2.5,1.5,5.93
2026-04,Oxheart,10,2.57,9.87,2.5,1.5,6.51
2026-04,Cafe Chutneys,6.98,3.37,6.09,3.5,0.0,4.82
2026-04,Chopstix South,6.62,2.4,7.93,2.5,0.0,4.82
2026-04,The Bell Inn,8.49,3.82,7.82,3.5,1.5,5.94
2026-04,Starbucks -  Southbound,7.79,4.0,7.94,2.5,0.0,5.5
2026-04,The Olde Mint,7.79,2.98,8.07,3.5,0.0,5.48
2026-04,Ferment And Flour (Bastardos),8.95,2.45,8.82,2.5,0.0,5.75
2026-04,Cafe Des Fleurs,9.42,3.25,8.31,3.5,1.5,6.23
2026-04,Southam Gateway Coffee Shop Ltd,9.65,3.0,7.62,3.5,1.5,6.08
2026-04,Lexi's Loving Spoonful,9.18,2.09,7.78,,0.0,6.02
2026-04,Pizza Junction Kineton Ltd,8.72,3.11,8.56,2.5,1.5,5.9
2026-04,The George Hotel,8.38,3.78,8.32,3.5,1.5,6.03
