rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
1,503282,Arrow Mill,B49 5NL,Pub / Bar,google_types,True,Low,0.8,9.722,9.526,,10.0,,,10,Excellent,converged(avg_div=0.100),9.907,3.333,18,40,11,7,0.61,1.0,0,,not_checked
2,1896717,Lithos Restaurant,B95 5BX,Restaurant (General),google_types,True,Low,0.8,9.833,8.843,,10.0,,,9.926,Excellent,converged(avg_div=0.000),9.655,3.333,11,40,7,4,0.64,1.0,0,,not_checked
3,1344517,The Fox Inn,CV35 9JS,Pub / Bar,google_types,True,Low,0.8,9.699,8.908,,10.0,,,9.866,Excellent,converged(avg_div=0.080),9.066,3.333,15,40,8,7,0.53,0.75,0,,not_checked
4,1299513,Oxheart,CV36 5JJ,Restaurant (General),google_types,True,Low,0.8,9.854,8.458,,10.0,,,9.845,Excellent,converged(avg_div=0.000),9.618,3.333,14,40,10,4,0.71,0.9,0,,not_checked
5,1854461,The Red Lion,CV37 6YW,Pub / Bar,google_types,True,Low,0.8,9.365,9.435,,10.0,,,9.804,Excellent,converged(avg_div=0.060),9.788,3.333,16,40,10,6,0.62,1.0,0,,not_checked
6,1016715,Shakespaw Cat Cafe,CV37 6QT,Cafe / Coffee Shop,google_types,True,Low,0.8,9.49,9.103,,10.0,,,9.795,Excellent,converged(avg_div=0.080),8.997,3.333,14,40,11,3,0.79,0.75,0,,not_checked
7,1699665,Nel's At The Pavilion,CV35 0AD,Cafe / Coffee Shop,google_types,True,Low,0.8,9.29,9.299,,10.0,,,9.728,Excellent,converged(avg_div=0.060),9.763,3.333,16,40,11,5,0.69,1.0,0,,not_checked
8,1152776,Gilks' Garage Cafe,CV35 0JZ,Cafe / Coffee Shop,google_types,True,Low,0.8,9.331,9.086,,10.0,,,9.701,Excellent,converged(avg_div=0.040),8.466,3.333,18,40,11,7,0.61,0.67,0,,not_checked
9,503054,Stratford Manor Hotel,CV37 0PY,Hotel / Accommodation,google_types,True,Low,0.8,9.645,9.125,,10.0,,,9.6,Excellent,neutral(avg_div=0.200),8.882,3.333,15,40,10,5,0.67,0.7,0,,not_checked
10,1623426,Red Hot Mamma Pizzeria,CV37 6AU,Restaurant (General),google_types,True,Low,0.8,8.589,9.888,,10.0,,,9.474,Excellent,converged(avg_div=0.040),9.53,3.333,16,40,10,6,0.62,1.0,0,,not_checked
11,1056848,Espresso Barn,CV37 8RB,Food & Drink,google_types,True,Low,0.8,9.22,8.349,,10.0,,,9.46,Excellent,converged(avg_div=0.100),8.307,3.333,15,40,10,5,0.67,0.57,0,,not_checked
12,503376,The Garden Cafe,B49 5PD,Food & Drink,google_types,True,Low,0.8,8.691,9.542,,10.0,,,9.448,Excellent,converged(avg_div=0.080),9.057,3.333,16,40,10,6,0.62,0.9,0,,not_checked
13,503854,The Lime Tree Restaurant,CV37 8LW,Other,unclassified,True,Low,0.8,9.188,9.513,,10.0,,,9.439,Excellent,neutral(avg_div=0.120),9.229,3.333,15,40,10,5,0.67,0.85,0,,not_checked
14,1397584,The Bluebell,B95 5AT,Restaurant (General),google_types,True,Low,0.8,8.88,9.012,,10.0,,,9.427,Excellent,converged(avg_div=0.100),9.304,3.333,18,40,11,7,0.61,1.0,0,,not_checked
15,1253303,Ettington Garden Cafe,CV37 7TB,Cafe / Coffee Shop,google_types,True,Low,0.8,8.93,8.85,,10.0,,,9.416,Excellent,converged(avg_div=0.060),9.31,3.333,16,40,10,6,0.62,0.9,0,,not_checked
16,559158,No 37 Cafe,CV37 6EE,Cafe / Coffee Shop,google_types,True,Low,0.8,9.373,8.966,,10.0,,,9.413,Excellent,neutral(avg_div=0.140),9.335,3.333,18,40,11,7,0.61,0.9,0,,not_checked
17,1339998,Cotswold Cafe,,Cafe / Coffee Shop,google_types,True,Low,0.8,8.946,8.664,,10.0,,,9.38,Excellent,converged(avg_div=0.060),8.993,3.333,18,40,11,7,0.61,0.9,0,,not_checked
18,503102,Ashorne Hill Management College,CV33 9QW,Other,unclassified,True,Low,0.8,9.42,9.31,,,,,9.378,Excellent,converged(avg_div=0.100),9.207,3.333,15,40,10,5,0.67,0.82,0,,not_checked
19,1421992,Deli Cafe,CV37 6QB,British Restaurant,google_types,True,Medium,0.5,9.337,8.858,,10.0,6.667,,9.346,Excellent,converged(avg_div=0.080),8.251,3.333,19,40,11,8,0.58,0.7,0,,not_checked
20,1210746,The Alcester Inn,B49 6AQ,Pub / Bar,google_types,True,Low,0.8,9.199,8.928,,10.0,,,9.308,Excellent,neutral(avg_div=0.160),8.4,3.333,16,40,10,6,0.62,0.6,0,,not_checked
21,1808717,Bistrot Pierre,CV37 7LT,French Restaurant,google_types,True,Medium,0.5,9.607,9.273,,10.0,6.667,,9.307,Excellent,neutral(avg_div=0.180),9.069,3.333,14,40,8,6,0.57,1.0,0,,not_checked
22,1789006,The Pickled Crab Deli,CV47 0HF,Takeaway,google_types,True,Low,0.8,8.717,8.742,,10.0,,,9.27,Excellent,converged(avg_div=0.080),9.272,3.333,17,40,11,6,0.65,1.0,0,,not_checked
23,1896714,The Townhouse Also Trading As JR Hotel And Restaurants LTD,CV37 6HB,Pub / Bar,google_types,True,Low,0.8,9.113,8.918,,10.0,,,9.259,Excellent,neutral(avg_div=0.120),9.088,3.333,16,40,11,5,0.69,0.9,0,,not_checked
