id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
1354963,1354963,The Tea Shed,,7.125,7.125,Directional-C,coverage-partial,False,False,unmatched,[],[]
1584577,1584577,Shakespeare's,8.03,8.03,8.03,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1695937,1695937,Impasto Micro-Pizzeria,9.223,9.223,9.223,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1896718,1896718,Birmingham City Football Club Ltd,7.747,7.747,7.747,Rankable-B,coverage-partial,True,True,unmatched,[],[]
503081,503081,Sans Oriental Restaurant,8.952,8.952,8.952,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1927834,1927834,Golden Putter Stratford Upon,4.479,4.479,4.479,Directional-C,coverage-partial,False,False,unmatched,[],[]
503585,503585,Redwings Horse Sanctuary,,7.294,7.294,Directional-C,coverage-partial,False,False,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=914, r=5""}]"
1622070,1622070,Carluccio's,8.867,8.867,8.867,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503554,503554,The Bridge,8.183,8.183,8.183,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=731, r=5""}]"
503316,503316,Lambs,9.311,9.311,9.311,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1381156,1381156,Pick Thai Ltd,8.518,8.518,8.518,Rankable-B,coverage-ready,True,False,unmatched,[],[]
1299513,1299513,Oxheart,9.186,9.186,9.186,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1826837,1826837,Cafe Chutneys,7.443,7.443,7.443,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1563336,1563336,Chopstix South,7.395,7.395,7.395,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1364372,1364372,The Bell Inn,8.937,8.937,8.937,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503343,503343,Starbucks -  Southbound,7.704,7.704,7.704,Directional-C,coverage-partial,False,False,unmatched,[],[]
1302779,1302779,The Olde Mint,7.875,7.875,7.875,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1826834,1826834,Ferment And Flour (Bastardos),8.251,8.251,8.251,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1500965,1500965,Cafe Des Fleurs,8.976,8.976,8.976,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503918,503918,Southam Gateway Coffee Shop Ltd,8.718,8.718,8.718,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503141,503141,NFU Mutual,8.482,8.482,8.482,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1622074,1622074,Lexi's Loving Spoonful,6.853,6.853,6.853,Directional-C,coverage-partial,False,False,unmatched,[],[]
1799218,1799218,Pizza Junction Kineton Ltd,9.245,9.245,9.245,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503972,503972,The George Hotel,8.87,8.87,8.87,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1712197,1712197,The Sandwich Shop,8.174,8.174,8.174,Directional-C,coverage-partial,False,False,unmatched,[],[]
1291215,1291215,Gardener's Retreat,8.082,8.082,8.082,Rankable-B,coverage-partial,True,True,unmatched,[],[]
676556,676556,The Straw Kitchen,8.91,8.91,8.91,Rankable-B,coverage-ready,True,True,unmatched,[],[]
