fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
1765854,The Roebuck Inn Alcester,Pub / Bar,B49 5QA,,7.044,Insufficient Data,Insufficient,0.0,Profile-only-D,False,False,-7.044,3.753,,0.0,,0,,0,10.0,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1754519,Nanas Caff,Cafe / Coffee Shop,CV37 9NQ,,8.284,Insufficient Data,Insufficient,4.23,Directional-C,False,False,-4.054,9.637,,2.5,,0,,0,10.0,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
979161,Karen's Korner,Cafe / Coffee Shop,B80 7PD,189,1.94,Urgent Improvement,Low,5.837,Rankable-B,True,True,3.897,2.907,8.72,5.0,google,108,,0,7.928,,,missing_source_discipline,missing_source_discipline
1690228,Compton Verney Cafe,Restaurant (General),CV35 9HZ,150,7.494,Good,Low,3.792,Directional-C,False,False,-3.702,8.543,,2.5,,0,,0,8.0,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1774610,Digby's Events,Other,CV47,,7.452,Insufficient Data,Insufficient,3.871,Directional-C,False,False,-3.581,9.677,,0.0,,0,,0,,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|entity_ambiguity
503270,Kings Court Hotel,Hotel / Accommodation,B49 5QQ,,7.288,Insufficient Data,Insufficient,3.728,Directional-C,False,False,-3.56,9.321,,0.0,,0,,0,7.5,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1622082,The Crofts Cafe Also Trading As New York Pizzas,American / Grill,CV37 6PH,,6.744,Insufficient Data,Insufficient,3.405,Directional-C,False,False,-3.339,8.512,,0.0,,0,,0,10.0,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1800192,Havilands Tea Room And Restaurant,Cafe / Coffee Shop,CV37 6QB,190,1.94,Urgent Improvement,Low,4.866,Rankable-B,True,True,2.926,2.016,7.355,5.0,google,277,,0,8.377,,,missing_source_discipline,missing_source_discipline
1344517,The Fox Inn,Pub / Bar,CV35 9JS,2,9.879,Excellent,Low,7.061,Rankable-B,True,True,-2.818,4.926,8.813,7.5,google,271,0.75,0,8.907,,,sentiment_removal,sentiment_removal
1896717,Lithos Restaurant,Restaurant (General),B95 5BX,,9.852,Insufficient Data,Insufficient,7.168,Rankable-B,True,True,-2.684,4.959,9.02,7.5,google,72,,0,8.476,,,missing_source_discipline,missing_source_discipline
503114,Mount Everest Nepalese Cuisine,Restaurant (General),B80 7NL,187,4.0,Improvement Necessary,Low,6.637,Rankable-B,True,True,2.637,4.084,8.619,7.5,google,297,,0,8.543,,,missing_source_discipline,missing_source_discipline
1808717,Bistrot Pierre,French Restaurant,CV37 7LT,25,9.239,Excellent,Low,6.617,Rankable-B,True,True,-2.622,4.903,7.846,7.5,google,970,,0,8.875,,,missing_source_discipline,missing_source_discipline
